Rank,GEOID,Score,Corridor Type,Population,Med. Income ($),Unemp. Rate (%),Biz Density (POI/km²),HUD OZ?
1,06065040617,74.09954587364837,Mixed Urban Core,7069,178026.0,0.656934306569343,0.0,0
2,06065040609,72.53912553652901,Tourist & Hospitality Zone,17697,152684.0,3.6057129477874033,0.0,0
3,06065043823,72.42171580024367,Tourist & Hospitality Zone,12388,142500.0,3.1106745252128354,0.0,0
4,06065043204,71.49243984816349,Tourist & Hospitality Zone,8221,126250.0,2.1108179419525066,0.0,0
5,06065047902,70.84597843335709,Mixed Urban Core,6746,201184.0,3.3662754786905493,0.0,0
6,06065040622,69.79736645654461,Mixed Urban Core,6962,161583.0,3.86310604096448,0.0,0
7,06065042008,69.47701646425963,Tourist & Hospitality Zone,8481,130335.0,4.020618556701031,0.0,0
8,06065042015,69.30576276692781,Mixed Urban Core,5648,162407.0,2.1642266072565244,0.0,0
9,06065042726,69.00875314885249,Tourist & Hospitality Zone,11414,127467.0,4.28979980934223,0.0,0
10,06065040611,68.58615440586541,Tourist & Hospitality Zone,9409,144063.0,5.070140280561122,0.0,0
11,06065040813,68.1825439444541,Mixed Urban Core,5460,143218.0,1.7176228100309172,0.0,0
12,06065043296,68.14663896228583,Mixed Urban Core,5419,172750.0,2.4776604386677494,0.0,0
13,06065040620,67.70479651344407,Mixed Urban Core,6978,185375.0,5.088212733316287,0.0,0
14,06065040619,67.6420751784265,Mixed Urban Core,5296,139833.0,1.2001548586914441,0.0,0
15,06065043270,67.1657859033113,Mixed Urban Core,5771,118650.0,1.317157712305026,0.0,0
16,06065041914,67.13005236633595,Mixed Urban Core,5965,151939.0,4.089083607155896,0.0,0
17,06065041803,66.78218832644211,Mixed Urban Core,5909,152262.0,4.171974522292993,0.0,0
18,06065040102,66.22874813335415,Tourist & Hospitality Zone,6503,120799.0,3.7352071005917162,0.0,0
19,06065041415,65.83392147752048,Mixed Urban Core,4450,149866.0,0.0,0.0,0
20,06065042716,65.64928343173997,Mixed Urban Core,5995,112386.0,2.626844188557035,0.0,0
